frame,price,supplier
14357001,5.63,roma
14357011,5.84,roma
14357061,5.84,roma
14357062,5.84,roma
14357067,5.63,roma
14540001,6.19,roma
14540009,6.19,roma
14540011,6.72,roma
14540061,6.72,roma
14540062,6.72,roma
14861001,2.17,roma
14861009,3.3,roma
14881001,2.59,roma
14930001,2.1,roma
14930011,2.39,roma
14930045,2.49,roma
14930048,2.49,roma
14930054,2.39,roma
14930063,2.39,roma
14930302,2.39,roma
14930303,2.39,roma
14930308,2.11,roma
15030001,4.15,roma
15030009,4.77,roma
15030045,5.17,roma
15030048,5.17,roma
15030054,4.89,roma
15030063,4.89,roma
15030302,4.89,roma
15030303,4.89,roma
15030308,4.36,roma
15125001,1.93,roma
15125011,2.35,roma
15125054,2.35,roma
15125302,2.35,roma
15125303,2.35,roma
15125308,2.06,roma
15225001,2.99,roma
15225011,3.41,roma
15225054,3.41,roma
15225302,3.41,roma
15225303,3.41,roma
15225308,2.99,roma
17255049,11.78,roma
17255054,11.78,roma
17255055,11.78,roma
17255087,11.45,roma
17524118,2.15,roma
22551010,4.41,roma
22551045,4.41,roma
22551046,4.41,roma
22551047,4.41,roma
22551050,4.41,roma
22551052,4.41,roma
22551086,4.41,roma
22551098,4.41,roma
22641080,4.79,roma
22661080,7.1,roma
22725069,2.86,roma
22725085,2.86,roma
22725087,2.86,roma
25183000,2.55,roma
25183063,2.55,roma
28812000,4.12,roma
28813044,4.12,roma
28814031,4.12,roma
32351000,3.49,roma
32351009,3.49,roma
32351045,3.85,roma
32351048,3.85,roma
32351054,3.96,roma
32351061,3.96,roma
32351063,3.96,roma
32351067,3.9,roma
32351069,3.9,roma
32351302,3.96,roma
32351303,3.96,roma
32351308,3.72,roma
34053045,5.04,roma
34053211,11.0,roma
40120001,1.46,roma
40120009,1.46,roma
40120067,1.46,roma
40120069,1.46,roma
40230001,1.96,roma
40230067,1.96,roma
40320001,2.18,roma
40320067,2.18,roma
40440001,3.62,roma
40440009,3.62,roma
40440067,3.62,roma
40440069,3.62,roma
40540001,2.47,roma
40540067,2.47,roma
40834000,3.5,roma
40834009,3.5,roma
40834045,3.5,roma
40834046,3.5,roma
40834052,3.5,roma
74773055,16.38,roma
80001000,12.19,roma
80001045,28.38,roma
80001067,12.19,roma
80001069,12.19,roma
80001215,31.16,roma
80073001,5.41,roma
80073067,5.41,roma
80073069,5.41,roma
80091001,8.33,roma
80091002,9.33,roma
80091009,8.33,roma
80091045,25.35,roma
80091058,9.33,roma
80091067,8.67,roma
80091069,8.67,roma
015-100-001,1.92,universal
015-167-001,1.76,universal
015-282-001,1.54,universal
015-383-001,1.54,universal
015-483-001,1.92,universal
016-302-479,3.54,universal
016-302-480,3.54,universal
016-302-486,3.54,universal
016-302-487,3.54,universal
016-304-480,3.34,universal
